objectid,title,neighborhood,location,address,city,state,zip_code,type,subject,datebuilt_architect,date,latitude,longitude,architect,object_location,image
AAHS_387,U.S. Post Office (Philadelphia),North,North,Germantown Ave. and Luzerne St.,Philadelphia,PA,19140,post office,post office,James Plater,,39.990821,-75.168428,James Plater,,
AAHS_398,United Sports Club,North,North,22nd and Clearfield St.,Philadelphia,PA,19132,,,"ca. 1940, James Plater",1940,39.990821,-75.168428,James Plater,,
AAHS_259,Nazarene Baptist Church Building #2,North,North,3975 Germantown Ave.,Philadelphia,PA,19140,church,church,"1994-1996, Madison Design Group",1994;1996,39.973054,-75.141599,Madison Design Group,,
AAHS_235,Miller Memorial Baptist Church,North,North,1518 N. 22nd St.,Philadelphia,PA,19121,church,church,"1923-1926, Neely & Martin",1923;1926,39.969626,-75.173848,Neely & Martin,,
AAHS_411,Wayland Temple Baptist Church / Columbia Avenue Methodist Church,North,North,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,church,church,"1888, Oscar Frotscher; alterations, 1916, George Savage",1888;1916,39.980753,-75.175932,Oscar Frotscher;George Savage,,
AAHS_22,B.M. Oakley Memorial Temple / Trinity Reformed Church,North,North,1535 N. 7th St.,Philadelphia,PA,19122,church,church,"1869, Samuel Sloan",1869,39.9420788,-75.1614584,Samuel Sloan,,
AAHS_434,Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,North,North,3600 N. Broad St.,Philadelphia,PA,19140,church,church,"1904, Stearns & Castor; alterations, 1914, Stearns & Castor; alterations, 1973, Eshbach, Glass, Kale & Associates",1904;1914;1973,40.007963,-75.152024,"Stearns & Castor;Stearns & Castor;Eshbach, Glass, Kale & Associates",,
AAHS_133,Freedom Theatre,North,North,1346 N. Broad St.,Philadelphia,PA,19121,theater,theater,"1853, 1865; Stephen D. Button",1853;1865,40.010581,-75.150898,Stephen D. Button,,
AAHS_359,St. Paul Baptist Church / First Reformed Church Building,North,North,1000 Wallace St.,Philadelphia,PA,19123,church,church,"before 1888; alterations, 1916, 1920, 1929, Stuckert & Co.",1888;1916;1920;1929,39.963493,-75.217236,Stuckert & Co.,,
AAHS_37,Berean Presbyterian Church Site / Berean Institute,North,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,church,church,"1884; 1888, T. P. Chandler",1884; 1888,39.9399634,-75.1647782,T. P. Chandler,,
